"name","name_match","id_match","X1860.1864","X1864.1866","X1866.1868","X1868.1871","X1871.1875","X1875.1879","X1879.1883","X1883.1884","X1884.1886","X1886.1887","X1887.1888","X1888.1891","X1891.1894","X1894.1897","X1897.1901","X1901.1905","X1905.1909","X1909.1913","X1913.1917","X1917.1918","X1918.1922"
"Willem Hendrik Bogaardt","Willem Hendrik Bogaardt","00150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"Jan Gerrit Scheurer","Jan Gerrit Scheurer","01194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Jan van den Tempel","Jan Tempel","01347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Arie de Zeeuw","Arie Bastiaan Zeeuw","01596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Frederik Bos","Frederik Bos","00176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jan Heemskerk Bzn.","Jan Heemskerk","00538",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacob Dirks","Jacob Dirks","00315",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marinus Bichon van IJsselmonde","Marinus Bichon van IJsselmonde","00112",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Theo van Lynden van Sandenburg","Constantijn Theodoor Lynden van Sandenburg","00857",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johannes Tak van Poortvliet","Johannes Dirk Poel","01041",0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
"Herman Jacob Dijckmeester ","Herman Jacob Dijckmeester","00360",0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"Frederik Willem Jacob van Aylva van Pellandt","Frederik Willem Jacob Aylva baron van Pallandt","00046",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Henri Daniël Guyot","Henri Daniël Guyot","00498",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Theodorus Lebuïnus Maria Hubertus Borret","Theodorus Lebuïnus Maria Hubertus Borret","00169",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Jan Hendrik Jacob Quarles van Ufford","Jan Hendrik Jacob Quarles van Ufford","01070",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Schelto van Citters","Schelto Citters","00256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Anthon Gerrit Aemile van Rappard ","Anthon Gerrit Æmile Rappard","01082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Henri ter Hall","Hendrik Johannes Hall","00514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Wieger Hendrikus Idzerda","Wieger Hendrikus Idzerda","00625",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Menso Johannes Pijnappel","Menso Johannes Pijnappel","01068",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aloysius Franciscus Xaverius Luyben","Aloysius Franciscus Xaverius Luyben","00851",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isaäc Lambertus Cremer van den Berch van Heemstede","Isaäc Lambertus Cremer van den Berch van Heemstede","00088",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexander Schimmelpenninck van der Oye ","Alexander Schimmelpenninck van der Oye","01203",0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Herman Schaepman","Hermanus Johannes Aloysius Maria Schaepman","01180",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
