gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cusip,co_cik,co_sic
004674,000003,19980828,,I0003,REGIONS FINANCIAL CORP,RF,7591EP100,0001281761,6020
008402,000003,19981001,,I0003,PAYCHEX INC,PAYX,704326107,0000723531,8721
024216,000003,19981002,,I0003,AES CORP (THE),AES,00130H105,0000874761,4991
003735,000003,19981118,,I0003,DANAHER CORP,DHR,235851102,0000313616,3826
013498,000003,19981222,,I0003,CARNIVAL CORPORATION & PLC,CCL,143658300,0000815097,4400
004723,000003,19990104,,I0003,U S BANCORP,USB,902973304,0000036104,6020
007171,000003,19990113,,I0003,MCKESSON CORP,MCK,58155Q103,0000927653,5122
002884,000003,19990325,,I0003,CENTURYLINK INC,CTL,156700106,0000018926,4813
027845,000003,19990412,,I0003,ALLERGAN PLC,AGN,G0177J108,0001578845,2834
003439,000003,19990503,,I0003,CMS ENERGY CORP,CMS,125896100,0000811156,4931
001449,000003,19990528,,I0003,AFLAC INC,AFL,001055102,0000004977,6321
061591,000003,19990625,,I0003,NETAPP INC,NTAP,64110D104,0001002047,3572
002184,000003,19990630,,I0003,BEST BUY CO INC,BBY,086516101,0000764478,5731
011228,000003,19990701,,I0003,VULCAN MATERIALS CO,VMC,929160109,0001396009,1400
024800,000003,19990722,,I0003,QUALCOMM INC,QCOM,747525103,0000804328,3674
001075,000003,19991004,,I0003,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911
001632,000003,19991012,,I0003,ANALOG DEVICES,ADI,032654105,0000006281,3674
012138,000003,19991013,,I0003,PRICE (T. ROWE) GROUP,TROW,74144T108,0001113169,6282
006649,000003,19991018,,I0003,LEGGETT & PLATT INC,LEG,524660107,0000058492,2510
022325,000003,19991108,,I0003,XILINX INC,XLNX,983919101,0000743988,3674
061676,000003,19991201,,I0003,CITRIX SYSTEMS INC,CTXS,177376100,0000877890,7372
012389,000003,20000131,,I0003,HARLEY-DAVIDSON INC,HOG,412822108,0000793952,3751
