 
                                                                                                                                                                                                                                                                
 
ticker            Model              evtdate    evttime      abret
PM        Market-Adjusted Model            .        .        .     
DXC       Market-Adjusted Model            .        .        .     
WLTW      Market-Adjusted Model            .        .        .     
AES       Market-Adjusted Model            .        .        .     
DHR       Market-Adjusted Model            .        .        .     
LRCX      Market-Adjusted Model            .        .        .     
DISCA     Market-Adjusted Model            .        .        .     
ADI       Market-Adjusted Model            .        .        .     
APH       Market-Adjusted Model            .        .        .     
BRK.B     Market-Adjusted Model            .        .        .     
VIAC      Market-Adjusted Model            .        .        .     
FMC       Market-Adjusted Model            .        .        .     
EIX       Market-Adjusted Model            .        .        .     
SLG       Market-Adjusted Model            .        .        .     
LKQ       Market-Adjusted Model            .        .        .     
FDX       Market-Adjusted Model            .        .        .     
XEC       Market-Adjusted Model            .        .        .     
CBRE      Market-Adjusted Model            .        .        .     
NDAQ      Market-Adjusted Model            .        .        .     
ROK       Market-Adjusted Model            .        .        .     
KSS       Market-Adjusted Model            .        .        .     
UNH       Market-Adjusted Model            .        .        .     
BKNG      Market-Adjusted Model            .        .        .     
VAR       Market-Adjusted Model            .        .        .     
LW        Market-Adjusted Model            .        .        .     
QCOM      Market-Adjusted Model            .        .        .     
CRM       Market-Adjusted Model            .        .        .     
PCAR      Market-Adjusted Model            .        .        .     
MXIM      Market-Adjusted Model            .        .        .     
MMM       Market-Adjusted Model            .        .        .     
EQR       Market-Adjusted Model            .        .        .     
PNR       Market-Adjusted Model            .        .        .     
GM        Market-Adjusted Model            .        .        .     
ATO       Market-Adjusted Model            .        .        .     
FBHS      Market-Adjusted Model            .        .        .     
EXR       Market-Adjusted Model            .        .        .     
VRTX      Market-Adjusted Model            .        .        .     
QRVO      Market-Adjusted Model            .        .        .     
MCD       Market-Adjusted Model            .        .        .     
CFG       Market-Adjusted Model            .        .        .     
NWSA      Market-Adjusted Model            .        .        .     
AGN       Market-Adjusted Model            .        .        .     
JKHY      Market-Adjusted Model            .        .        .     
MTD       Market-Adjusted Model            .        .        .     
UPS       Market-Adjusted Model            .        .        .     
